id,code,type,volatility,threshold,absolute_threshold,policy_min_threshold,history_and_avg_absdelta,impact_score,missed_flag_sample,false_flag_sample,created_at,updated_at,special_term,mad,k_and_flagrate,categories
36,60001 Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
37,60002 Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
38,6001 Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
39,60010 Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
40,60011-000 Salaries and Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
41,6002 Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
42,60020 Wages,opex,fixed,"[{""company"":{""name"":""Summit Strategy""},""thresholds"":[{""value"":0.5823290730616664,""confidence"":0,""created_on"":""2026-05-16T11:38:56Z"",""closing_month"":""03-2026""},{""value"":0.39,""confidence"":0,""created_on"":""2026-05-20T13:56:07Z"",""closing_month"":""03-2026""},{""value"":0.39,""confidence"":0,""created_on"":""2026-05-20T14:57:36Z"",""closing_month"":""03-2026""}]}]",,0.15,"[{""company"":{""name"":""Summit Strategy""},""history"":[{""12-2025"":18345.82},{""01-2026"":24096.35},{""02-2026"":14389.22},{""03-2026"":13538.47},{""10-2025"":22442.1},{""11-2025"":18345.82}],""avg_absdelta"":0.19,""coefficient_of_variation"":0.79}]",,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0.2,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
43,6003 Indirect Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
44,6021 Employee PR - Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
45,6021 Employee Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
46,6022 Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
47,6030 Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
48,6100 Indirect Salaries & Benefits,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
49,6101 Employee PR - Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
50,6101.2 Wages - Social Media Ma...,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
51,6101.3 Wages - Social Media Ad...,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
52,6101.4 Wages - SEM,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
53,6101.5 Wages - Sales,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
54,6101.6 Wages - Video,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
55,6110 Employee PR - Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
56,6356 Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
57,6401 Employee Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
58,64100 Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
59,6451 Salaries and Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
60,65101-000 Salaries and Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
61,6551 Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
62,6701 Salaries & Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
63,5150 Direct Labor - Bonus,cogs,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
64,5150 Direct Labor - Bonuses,cogs,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
65,1-65520 Bonuses,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
67,3-65520 Bonuses,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
68,5023 DL - Bonus,cogs,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
69,60005 Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
70,60006 Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
71,6004 Employee Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
72,60040 Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
73,60050 Bonus,opex,variable,"[{""company"":{""name"":""Summit Strategy""},""thresholds"":[{""value"":0.05,""confidence"":0,""created_on"":""2026-05-16T11:38:56Z"",""closing_month"":""03-2026""}]}]",,0.15,"[{""company"":{""name"":""Summit Strategy""},""history"":[{""12-2025"":26000},{""02-2026"":0}],""avg_absdelta"":1}]",,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":1,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
74,6009 Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
75,6023 Employee Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
76,6024 Employee PR - Bonuses,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
77,6025 Employee Bonuses,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
78,6111 Employee PR - Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
79,6359 Margin Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
80,6361 Bonus & Incentives,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
81,6404 Employee Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
82,64500 Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
83,6555 Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
84,6709 Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
85,60002 Officer Bonus,opex,variable,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",
86,1-65550 Payroll Taxes,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
115,3-65550 Payroll Taxes,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
117,4-65550 Payroll Taxes,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
118,5002 Direct Labor - Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
119,5002 Direct Payroll Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
120,5005 Direct Support Payroll Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
121,5102 Direct Labor PR - Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
122,5102 Direct Payroll Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
123,51120-000 Payroll Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
124,5120 Direct Labor - Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
125,52103-000 Payroll Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
126,53103-000 Payroll Taxes,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
127,5320 Payroll Taxes - Direct,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
128,60003 Payroll Taxes,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
129,60005 Payroll Taxes,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",pr_taxes
